id_cliente,id_producto,cantidad,monto,fecha
cliente_17,producto_3,5,198.29,2023-10-27
cliente_1505,producto_30,3,89.48,2024-03-16
cliente_3809,producto_49,2,116.05,2024-01-22
cliente_1275,producto_20,10,121.66,2023-08-07
cliente_316,producto_7,4,55.86,2023-12-26
cliente_2035,producto_5,2,144.47,2024-01-16
cliente_2198,producto_49,9,470.39,2024-02-01
cliente_4115,producto_19,9,893.22,2023-10-23
cliente_4148,producto_18,2,113.78,2023-10-04
cliente_4645,producto_9,9,672.28,2024-06-11
cliente_2364,producto_12,1,46.29,2023-10-22
cliente_3773,producto_2,1,94.97,2024-03-04
cliente_2965,producto_27,1,24.33,2024-05-05
cliente_402,producto_35,7,615.5,2023-07-17
cliente_3810,producto_1,3,293.29,2023-08-05
cliente_1496,producto_21,10,255.76,2024-03-17
cliente_4428,producto_13,5,336.97,2023-12-12
cliente_4861,producto_39,2,132.05,2024-01-01
cliente_2224,producto_43,10,959.12,2024-02-17
cliente_3578,producto_4,7,251.13,2024-05-29
cliente_1726,producto_47,10,241.29,2023-06-18
cliente_4029,producto_42,6,295.4,2024-06-06
cliente_4975,producto_27,8,243.44,2024-02-04
cliente_607,producto_23,1,21.31,2023-12-15
cliente_3556,producto_15,2,29.35,2024-05-01
cliente_3295,producto_19,7,549.7,2023-12-23
cliente_723,producto_14,6,62.99,2023-08-14
cliente_1248,producto_33,4,288.08,2024-02-15
cliente_2078,producto_4,3,216.72,2024-05-26
cliente_4114,producto_33,5,305.72,2023-06-21
cliente_1465,producto_6,3,34.93,2023-07-10
cliente_495,producto_8,9,209.07,2024-05-23
cliente_1671,producto_31,5,377.62,2024-02-01
cliente_731,producto_3,4,231.8,2023-08-22
cliente_4215,producto_21,10,229.71,2024-01-06
cliente_3061,producto_33,1,59.71,2023-12-02
cliente_1688,producto_31,2,187.19,2023-11-22
cliente_510,producto_43,3,220.87,2024-01-17
cliente_2592,producto_44,6,203.0,2023-08-03
cliente_1187,producto_43,4,205.21,2023-07-02
cliente_1861,producto_22,8,454.01,2024-01-18
cliente_4884,producto_11,4,166.28,2023-09-25
cliente_3776,producto_46,4,217.23,2023-08-08
cliente_3962,producto_23,1,39.08,2023-08-20
cliente_4001,producto_48,9,106.69,2023-10-11
cliente_4361,producto_25,3,79.28,2024-02-01
cliente_3699,producto_46,5,131.7,2023-06-18
cliente_3851,producto_38,4,193.08,2024-05-30
cliente_3216,producto_14,5,172.93,2024-04-17
cliente_4493,producto_34,10,106.14,2024-02-23
cliente_1423,producto_4,9,276.85,2023-08-23
cliente_1783,producto_42,5,354.13,2023-11-23
cliente_1325,producto_50,2,168.26,2024-03-26
cliente_3288,producto_24,1,87.4,2024-05-10
cliente_3625,producto_16,8,578.66,2024-05-21
cliente_3704,producto_5,5,375.07,2023-06-27
cliente_3385,producto_17,1,73.11,2023-08-31
cliente_3658,producto_46,10,939.03,2023-10-10
cliente_2169,producto_11,8,549.66,2023-09-25
cliente_1883,producto_50,2,146.3,2024-04-20
cliente_3136,producto_29,6,398.02,2023-10-09
cliente_575,producto_17,1,86.39,2023-09-14
cliente_508,producto_50,3,240.58,2024-02-23
cliente_3839,producto_35,1,72.9,2023-08-24
cliente_1591,producto_29,1,27.6,2023-11-13
cliente_577,producto_26,7,290.0,2023-12-09
cliente_1912,producto_27,5,361.09,2024-05-30
cliente_988,producto_16,7,409.56,2023-11-18
cliente_1097,producto_20,10,384.54,2024-06-04
cliente_3055,producto_3,5,105.98,2023-10-03
cliente_1478,producto_50,10,316.27,2024-06-06
cliente_1577,producto_38,8,187.73,2024-04-26
cliente_2263,producto_48,8,640.73,2023-06-28
cliente_256,producto_50,9,898.14,2023-12-04
cliente_1891,producto_48,6,550.76,2023-08-28
cliente_3038,producto_20,7,584.64,2023-07-06
cliente_3103,producto_36,2,35.62,2024-06-09
cliente_4585,producto_44,6,565.15,2023-12-21
cliente_4247,producto_50,1,71.4,2023-11-09
cliente_2483,producto_16,5,111.94,2023-09-01
cliente_1494,producto_15,1,41.43,2024-04-17
cliente_216,producto_4,6,75.92,2024-02-05
cliente_3884,producto_10,2,199.53,2023-08-16
cliente_2079,producto_49,5,470.9,2024-05-17
cliente_4920,producto_40,4,120.23,2023-10-24
cliente_1863,producto_37,10,726.49,2023-09-22
cliente_1630,producto_15,4,351.94,2023-11-02
cliente_1909,producto_2,5,123.91,2024-01-11
cliente_713,producto_4,9,713.2,2024-05-27
cliente_1315,producto_12,10,203.95,2023-11-02
cliente_3956,producto_7,10,513.11,2023-07-19
cliente_2284,producto_47,6,131.06,2024-05-12
cliente_4548,producto_21,3,242.2,2023-08-05
cliente_3573,producto_46,3,269.48,2024-01-19
cliente_1518,producto_32,8,259.7,2023-11-13
cliente_3483,producto_21,7,204.83,2023-11-26
cliente_208,producto_8,10,220.04,2024-03-18
cliente_243,producto_20,10,700.7,2023-09-03
cliente_1098,producto_45,5,228.19,2023-09-25
cliente_2474,producto_18,3,270.68,2024-03-14
cliente_889,producto_4,4,385.44,2024-05-17
cliente_3053,producto_30,10,659.54,2023-08-07
cliente_2805,producto_40,6,246.75,2024-01-30
cliente_3203,producto_24,2,59.11,2024-05-09
cliente_2388,producto_34,8,171.08,2024-03-18
cliente_4784,producto_3,5,191.92,2023-08-10
cliente_3777,producto_21,5,396.66,2023-10-13
cliente_478,producto_37,1,96.14,2023-06-19
cliente_3826,producto_42,10,740.61,2023-11-04
cliente_2684,producto_41,3,282.54,2024-02-04
cliente_4574,producto_19,2,158.25,2023-11-26
cliente_880,producto_28,4,73.46,2024-06-05
cliente_2728,producto_9,9,324.25,2023-09-21
cliente_2162,producto_13,5,303.18,2024-04-11
cliente_4591,producto_29,1,66.98,2024-04-05
cliente_2367,producto_37,9,436.87,2023-12-12
cliente_1268,producto_2,3,34.79,2023-12-31
cliente_4149,producto_26,6,363.26,2023-11-24
cliente_148,producto_37,2,141.21,2023-08-12
cliente_4788,producto_2,3,152.5,2024-05-12
cliente_575,producto_17,4,279.8,2023-08-18
cliente_396,producto_27,7,492.34,2023-08-13
cliente_1483,producto_23,1,23.91,2023-11-15
cliente_2390,producto_4,1,77.12,2024-01-14
cliente_1088,producto_7,8,628.53,2024-05-10
cliente_2391,producto_15,2,76.24,2024-06-14
cliente_4460,producto_48,2,177.5,2024-01-23
cliente_437,producto_3,5,179.09,2024-05-15
cliente_4694,producto_35,1,93.1,2023-12-18
cliente_3473,producto_22,9,529.58,2024-03-04
cliente_339,producto_14,6,220.52,2023-12-08
cliente_1318,producto_13,7,643.42,2023-09-29
cliente_1069,producto_50,1,22.28,2024-06-04
cliente_982,producto_20,7,304.56,2024-02-25
cliente_367,producto_22,8,539.72,2024-04-27
cliente_3193,producto_13,3,165.42,2024-01-13
cliente_1652,producto_39,7,381.51,2024-05-12
cliente_2690,producto_14,5,301.89,2023-08-20
cliente_4114,producto_20,5,176.67,2024-01-26
cliente_4817,producto_30,9,564.12,2023-07-30
cliente_3368,producto_43,3,37.85,2024-04-12
cliente_738,producto_11,6,327.81,2024-01-12
cliente_1992,producto_17,3,164.53,2024-03-28
cliente_3980,producto_15,5,250.23,2023-09-21
cliente_4658,producto_15,3,33.03,2024-01-28
cliente_2637,producto_32,8,267.23,2023-09-01
cliente_4439,producto_33,8,619.56,2024-02-24
cliente_2236,producto_49,4,143.82,2024-03-30
cliente_4644,producto_4,10,607.88,2024-02-06
cliente_4760,producto_25,3,229.43,2024-01-06
cliente_3564,producto_13,8,558.79,2024-05-13
cliente_1939,producto_23,1,34.2,2023-09-20
cliente_798,producto_4,3,120.9,2024-02-05
cliente_3796,producto_22,9,728.58,2023-07-31
cliente_869,producto_17,3,268.27,2023-10-12
cliente_4536,producto_18,6,286.11,2023-06-21
cliente_707,producto_35,5,339.55,2023-11-18
cliente_3915,producto_15,10,782.09,2024-05-30
cliente_825,producto_8,8,615.25,2023-10-06
cliente_1925,producto_28,1,99.3,2023-08-31
cliente_1566,producto_7,2,77.12,2023-10-08
cliente_143,producto_28,7,221.3,2024-02-05
cliente_3558,producto_41,7,458.46,2023-10-11
cliente_1587,producto_40,6,352.66,2024-03-10
cliente_979,producto_43,5,457.46,2024-03-16
cliente_179,producto_9,1,96.78,2024-02-26
cliente_1985,producto_21,2,25.7,2024-04-08
cliente_3442,producto_18,3,225.71,2024-04-11
cliente_4030,producto_25,4,355.75,2024-02-26
cliente_2795,producto_17,4,65.47,2023-09-03
cliente_4067,producto_50,10,223.43,2023-09-30
cliente_112,producto_17,7,383.68,2023-12-21
cliente_4753,producto_45,4,104.8,2024-01-03
cliente_3852,producto_21,10,993.73,2023-09-04
cliente_4216,producto_18,7,435.33,2024-05-26
cliente_464,producto_9,6,242.1,2023-09-04
cliente_591,producto_45,8,220.88,2024-05-27
cliente_4875,producto_3,1,37.0,2023-11-06
cliente_322,producto_12,5,108.03,2024-03-06
cliente_1780,producto_22,7,541.96,2023-11-14
cliente_4157,producto_28,10,309.88,2023-08-02
cliente_2287,producto_2,6,271.42,2024-01-25
cliente_4071,producto_40,8,405.44,2023-11-15
cliente_247,producto_29,3,192.18,2023-10-10
cliente_722,producto_43,7,448.82,2023-11-20
cliente_1584,producto_21,7,641.31,2024-05-30
cliente_3141,producto_32,2,152.46,2023-07-14
cliente_4840,producto_32,4,281.27,2023-10-15
cliente_3799,producto_15,1,11.28,2023-08-07
cliente_4543,producto_17,2,130.36,2024-04-30
cliente_4291,producto_40,10,499.28,2023-08-12
cliente_3397,producto_43,2,83.24,2024-06-01
cliente_2508,producto_16,8,328.58,2023-10-01
cliente_1170,producto_26,1,30.82,2023-08-30
cliente_1679,producto_8,2,170.13,2023-07-31
cliente_693,producto_14,9,165.86,2023-08-21
cliente_1345,producto_24,5,482.03,2024-04-04
cliente_2550,producto_27,3,126.12,2023-07-15
cliente_491,producto_39,1,34.34,2023-11-14
cliente_4642,producto_25,4,176.42,2023-11-18
cliente_4363,producto_18,7,359.02,2024-05-19
cliente_2497,producto_1,9,689.31,2023-11-19
cliente_1976,producto_3,2,119.3,2024-02-12
cliente_3481,producto_35,2,138.13,2023-12-21
cliente_818,producto_47,3,159.65,2023-11-08
cliente_1129,producto_1,6,486.61,2024-04-28
cliente_136,producto_10,8,416.37,2023-08-02
cliente_4028,producto_4,8,509.38,2024-05-16
cliente_1836,producto_19,6,514.87,2024-05-24
cliente_1392,producto_26,8,400.59,2023-09-29
cliente_2539,producto_48,4,159.15,2023-09-19
cliente_561,producto_44,9,103.09,2024-06-10
cliente_224,producto_14,2,191.25,2023-10-08
cliente_2401,producto_44,1,94.2,2023-08-18
cliente_4229,producto_38,4,43.06,2024-04-05
cliente_962,producto_7,2,113.08,2023-10-24
cliente_923,producto_32,10,612.11,2023-12-18
cliente_465,producto_1,8,184.34,2023-08-03
cliente_2362,producto_20,5,139.12,2024-01-21
cliente_1457,producto_9,1,79.3,2023-08-16
cliente_569,producto_3,1,96.41,2023-09-16
cliente_4233,producto_24,7,264.15,2023-07-07
cliente_4138,producto_6,7,144.08,2023-10-11
cliente_1460,producto_15,4,83.45,2023-07-24
cliente_3766,producto_32,6,103.9,2024-01-05
cliente_2287,producto_45,2,33.49,2024-06-01
cliente_41,producto_8,3,271.54,2023-09-24
cliente_3382,producto_18,10,393.51,2023-08-11
cliente_1102,producto_40,1,98.58,2024-02-29
cliente_661,producto_13,2,73.09,2024-02-14
cliente_1696,producto_38,8,209.21,2024-03-22
cliente_839,producto_35,1,52.26,2023-10-17
cliente_1158,producto_6,1,54.08,2023-12-26
cliente_584,producto_22,2,168.25,2024-06-09
cliente_4206,producto_23,4,295.59,2024-05-11
cliente_2958,producto_48,8,381.06,2023-12-22
cliente_1384,producto_4,5,418.34,2023-08-06
cliente_161,producto_9,2,163.0,2024-06-09
cliente_1453,producto_37,6,427.27,2023-09-16
cliente_2948,producto_31,10,819.59,2024-01-17
cliente_1055,producto_12,10,608.7,2024-02-05
cliente_395,producto_8,7,101.33,2023-08-12
cliente_3965,producto_27,3,74.47,2024-04-16
cliente_3014,producto_11,6,265.71,2024-04-07
cliente_2165,producto_37,5,174.16,2023-12-05
cliente_355,producto_3,4,302.15,2024-04-25
cliente_3506,producto_1,2,169.97,2023-11-26
cliente_4843,producto_13,7,696.12,2023-12-08
cliente_2207,producto_18,4,324.81,2023-07-02
cliente_1841,producto_16,1,51.08,2024-05-05
cliente_918,producto_44,7,234.46,2024-03-10
cliente_3140,producto_50,10,211.38,2023-07-22
cliente_4582,producto_5,8,496.09,2023-12-23
cliente_2616,producto_22,7,401.66,2024-02-15
cliente_4654,producto_29,9,359.66,2023-12-09
cliente_4035,producto_34,8,93.6,2024-02-14
cliente_3430,producto_6,3,173.3,2024-02-01
cliente_4227,producto_20,5,494.83,2023-06-17
cliente_1061,producto_38,5,146.14,2024-04-06
cliente_4371,producto_4,2,32.44,2024-05-17
cliente_388,producto_5,10,476.79,2023-08-17
cliente_1591,producto_3,8,673.14,2023-07-08
cliente_1384,producto_5,7,606.5,2024-02-10
cliente_2441,producto_41,8,371.95,2024-02-19
cliente_3570,producto_29,2,64.8,2023-10-07
cliente_3999,producto_17,9,894.15,2024-04-03
cliente_1684,producto_10,1,15.22,2023-10-20
cliente_3413,producto_16,8,664.95,2024-03-16
cliente_1056,producto_11,5,392.53,2023-06-15
cliente_918,producto_2,5,282.12,2024-03-02
cliente_2272,producto_46,6,595.96,2024-01-26
cliente_4007,producto_6,2,23.48,2024-05-22
cliente_1008,producto_40,5,171.3,2024-05-17
cliente_640,producto_17,9,539.73,2024-02-23
cliente_3880,producto_5,4,190.41,2024-05-08
cliente_3924,producto_23,2,66.45,2023-07-12
cliente_2349,producto_12,10,393.15,2023-08-23
cliente_7,producto_42,7,82.65,2024-02-21
cliente_1049,producto_5,10,379.52,2024-02-29
cliente_3041,producto_34,2,169.5,2023-11-27
cliente_522,producto_32,10,635.55,2024-02-23
cliente_1567,producto_20,5,330.2,2024-06-02
cliente_2019,producto_29,1,21.92,2024-04-25
cliente_3146,producto_15,10,765.76,2024-05-09
cliente_4977,producto_24,4,190.07,2024-01-04
cliente_4644,producto_24,5,322.58,2024-05-07
cliente_2470,producto_36,10,178.8,2024-04-04
cliente_2948,producto_7,8,749.23,2024-04-05
cliente_2614,producto_15,2,106.44,2023-11-19
cliente_2822,producto_50,3,220.97,2023-08-03
cliente_1787,producto_10,8,550.83,2024-05-09
cliente_3251,producto_10,1,22.44,2023-09-13
cliente_1645,producto_35,4,356.5,2023-07-26
cliente_2660,producto_4,10,299.36,2024-02-20
cliente_1122,producto_41,4,375.01,2024-01-06
cliente_37,producto_19,8,340.66,2023-07-04
cliente_3486,producto_6,2,51.76,2024-01-20
cliente_1378,producto_43,2,46.63,2023-06-16
cliente_974,producto_46,10,681.14,2023-11-09
cliente_1680,producto_31,3,197.99,2024-02-10
cliente_2890,producto_15,10,578.63,2023-09-17
cliente_290,producto_30,5,227.97,2023-12-28
cliente_4874,producto_50,4,181.11,2024-04-10
cliente_2901,producto_43,4,56.87,2023-09-03
cliente_1676,producto_33,10,901.55,2024-01-17
cliente_1501,producto_21,6,173.09,2023-08-09
cliente_779,producto_2,6,576.34,2023-09-07
cliente_907,producto_26,4,89.52,2023-12-19
cliente_733,producto_36,10,628.17,2024-02-10
cliente_1652,producto_38,1,19.71,2023-08-21
cliente_552,producto_21,10,341.88,2024-02-22
cliente_1468,producto_46,2,179.42,2024-04-24
cliente_3036,producto_44,2,104.13,2023-10-15
cliente_3291,producto_26,7,554.22,2023-09-30
cliente_530,producto_28,1,48.38,2023-07-03
cliente_1970,producto_4,2,27.05,2024-04-29
cliente_3767,producto_5,10,201.84,2024-02-06
cliente_3877,producto_50,6,221.2,2023-10-19
cliente_756,producto_41,5,413.56,2023-08-04
cliente_882,producto_26,8,522.35,2023-11-15
cliente_3146,producto_26,8,364.82,2024-04-04
cliente_2408,producto_39,7,311.45,2023-08-25
cliente_118,producto_34,5,126.74,2024-01-31
cliente_4756,producto_26,5,169.47,2023-10-16
cliente_4951,producto_22,1,90.06,2023-09-27
cliente_3769,producto_21,7,339.31,2024-04-02
cliente_3560,producto_3,9,173.51,2023-07-15
cliente_1660,producto_29,5,432.54,2023-06-16
cliente_1693,producto_19,5,427.48,2024-02-11
cliente_17,producto_1,10,114.48,2024-01-17
cliente_4209,producto_14,3,195.19,2023-12-26
cliente_3522,producto_21,5,52.45,2024-01-12
cliente_4338,producto_10,2,150.6,2023-10-24
cliente_3882,producto_27,6,566.55,2023-12-20
cliente_1046,producto_6,10,499.47,2023-12-15
cliente_2673,producto_10,3,230.17,2023-07-01
cliente_4992,producto_6,10,200.58,2023-06-18
cliente_3411,producto_2,9,244.7,2023-11-26
cliente_676,producto_29,10,841.51,2024-01-03
cliente_2121,producto_12,10,965.88,2023-07-02
cliente_133,producto_31,7,340.57,2023-09-09
cliente_1751,producto_6,9,235.29,2023-10-13
cliente_1810,producto_1,10,348.43,2023-07-06
cliente_131,producto_22,6,112.83,2024-04-22
cliente_2740,producto_1,6,425.96,2024-03-15
cliente_4565,producto_34,9,135.05,2023-11-06
cliente_3830,producto_23,1,91.28,2024-03-10
cliente_1718,producto_5,6,549.3,2024-04-06
cliente_1899,producto_12,3,64.82,2023-08-07
cliente_657,producto_28,2,72.79,2023-11-24
cliente_186,producto_26,1,93.6,2023-08-10
cliente_219,producto_30,4,313.99,2023-08-07
cliente_1276,producto_19,7,424.85,2023-08-27
cliente_1440,producto_41,7,166.93,2023-08-11
cliente_1448,producto_29,2,142.03,2024-06-11
cliente_4705,producto_2,7,312.44,2023-12-24
cliente_3848,producto_20,8,241.11,2024-05-26
cliente_1337,producto_40,7,451.81,2024-05-01
cliente_2739,producto_38,8,614.77,2023-09-06
cliente_4379,producto_8,7,455.75,2023-12-01
cliente_3810,producto_4,3,38.05,2023-06-27
cliente_1681,producto_32,10,656.73,2024-06-03
cliente_937,producto_15,1,51.48,2024-02-05
cliente_1592,producto_37,10,229.26,2023-09-14
cliente_1389,producto_21,6,77.23,2024-03-25
cliente_1728,producto_42,3,220.53,2023-09-29
cliente_1717,producto_40,2,115.35,2023-09-25
cliente_192,producto_45,8,176.82,2023-06-22
cliente_4629,producto_4,8,474.56,2023-10-06
cliente_3696,producto_29,9,442.58,2024-03-04
cliente_3928,producto_39,3,63.59,2023-08-27
cliente_3731,producto_5,9,180.46,2023-06-16
cliente_174,producto_44,1,94.24,2024-03-04
cliente_2086,producto_42,8,540.2,2023-10-16
cliente_917,producto_1,9,283.9,2023-09-21
cliente_2823,producto_11,7,518.95,2023-08-14
cliente_644,producto_30,1,82.12,2023-10-19
cliente_1529,producto_36,2,48.0,2023-11-28
cliente_347,producto_37,10,166.58,2024-02-20
cliente_2306,producto_9,3,223.8,2023-08-22
cliente_1958,producto_37,7,378.52,2023-07-19
cliente_2069,producto_7,6,514.05,2024-02-28
cliente_2960,producto_44,3,132.6,2023-12-18
cliente_2864,producto_6,5,193.95,2023-11-21
cliente_4892,producto_46,10,833.94,2024-03-13
cliente_3127,producto_26,3,45.26,2023-11-01
cliente_2637,producto_6,5,93.18,2023-07-21
cliente_381,producto_6,2,115.63,2023-11-26
cliente_569,producto_39,4,134.36,2024-05-20
cliente_4171,producto_10,1,62.48,2024-05-01
cliente_2643,producto_38,10,613.71,2023-08-13
cliente_2110,producto_13,1,19.3,2024-06-05
cliente_3991,producto_16,10,567.91,2023-10-08
cliente_2671,producto_25,5,353.57,2024-01-06
cliente_897,producto_11,7,607.59,2024-04-22
cliente_24,producto_26,5,228.11,2023-12-21
cliente_1553,producto_1,7,136.5,2023-12-24
cliente_2198,producto_15,9,767.39,2024-03-16
cliente_3302,producto_18,3,107.15,2023-08-22
cliente_4934,producto_32,6,189.17,2023-10-17
cliente_2391,producto_34,6,535.83,2023-12-30
cliente_4839,producto_19,8,470.35,2023-10-26
cliente_4083,producto_45,6,451.89,2023-11-03
cliente_211,producto_9,9,426.71,2024-01-25
cliente_3337,producto_1,7,384.35,2024-05-19
cliente_2050,producto_13,10,640.73,2023-11-28
cliente_2592,producto_17,1,30.08,2023-06-30
cliente_2550,producto_41,2,30.43,2024-04-07
cliente_2783,producto_37,2,110.46,2023-08-19
cliente_1623,producto_6,9,618.11,2024-02-21
cliente_1217,producto_19,7,181.34,2024-05-31
cliente_4819,producto_36,1,27.28,2024-04-08
cliente_4719,producto_34,10,914.39,2023-10-07
cliente_3004,producto_50,8,794.99,2023-11-23
cliente_113,producto_21,5,467.27,2023-12-15
cliente_4976,producto_8,2,32.19,2024-02-06
cliente_4494,producto_12,9,184.58,2024-02-29
cliente_366,producto_42,3,39.07,2023-09-28
cliente_1260,producto_3,2,97.29,2023-08-13
cliente_4155,producto_18,9,220.86,2023-09-27
cliente_4359,producto_42,4,264.63,2023-11-19
cliente_978,producto_40,3,80.23,2024-02-12
cliente_1424,producto_25,2,141.98,2023-10-06
cliente_1469,producto_33,8,391.13,2024-03-23
cliente_3940,producto_12,3,168.58,2023-09-18
cliente_44,producto_25,6,580.49,2023-12-22
cliente_1376,producto_29,6,106.18,2023-11-05
cliente_33,producto_5,9,664.47,2024-03-06
cliente_652,producto_41,6,308.98,2023-09-17
cliente_2133,producto_5,8,534.64,2024-06-10
cliente_4994,producto_24,4,284.57,2024-02-06
cliente_580,producto_13,6,570.29,2023-08-27
cliente_4663,producto_16,10,183.45,2024-06-12
cliente_1638,producto_2,3,137.15,2023-10-08
cliente_1739,producto_12,1,77.0,2023-11-26
cliente_507,producto_28,10,827.68,2023-10-07
cliente_461,producto_13,6,158.05,2024-01-04
cliente_413,producto_19,3,287.86,2023-06-22
cliente_1905,producto_2,6,295.86,2024-04-27
cliente_359,producto_4,8,185.67,2024-01-22
cliente_3529,producto_36,8,507.35,2023-08-18
cliente_4130,producto_7,8,285.05,2023-08-28
cliente_3996,producto_36,1,27.77,2024-04-25
cliente_1695,producto_11,4,237.84,2023-10-19
cliente_3322,producto_32,1,96.32,2023-09-30
cliente_2231,producto_12,10,535.41,2024-01-01
cliente_1852,producto_43,6,424.89,2024-02-01
cliente_899,producto_33,1,41.04,2023-11-07
cliente_587,producto_24,1,52.28,2023-10-20
cliente_2106,producto_33,2,29.55,2024-06-04
cliente_2607,producto_4,1,74.61,2023-11-15
cliente_455,producto_17,8,592.32,2023-06-24
cliente_1061,producto_41,3,229.53,2023-06-28
cliente_495,producto_25,4,285.49,2023-12-11
cliente_2969,producto_47,7,140.89,2023-09-22
cliente_2721,producto_48,2,135.8,2023-12-03
cliente_801,producto_20,2,149.02,2024-04-21
cliente_3183,producto_30,10,682.78,2023-11-13
cliente_1094,producto_25,8,671.28,2023-09-29
cliente_1986,producto_3,1,88.3,2024-01-29
cliente_4820,producto_48,1,60.72,2023-10-24
cliente_1809,producto_24,3,295.69,2024-03-31
cliente_4392,producto_39,4,354.78,2023-07-26
cliente_4784,producto_26,4,119.16,2023-07-25
cliente_3302,producto_48,10,288.43,2023-10-21
cliente_381,producto_42,1,56.62,2024-02-18
cliente_3980,producto_3,7,173.82,2024-03-12
cliente_3066,producto_38,7,541.33,2023-12-21
cliente_3254,producto_25,5,270.32,2024-06-01
cliente_4907,producto_30,6,492.25,2024-04-06
cliente_823,producto_27,10,313.39,2023-08-08
cliente_908,producto_33,2,160.98,2024-01-31
cliente_935,producto_7,8,473.51,2023-12-19
cliente_1677,producto_35,10,480.05,2024-03-18
cliente_844,producto_22,1,55.79,2023-12-21
cliente_1278,producto_4,9,645.31,2024-02-09
cliente_434,producto_19,10,765.52,2023-10-15
cliente_3726,producto_9,5,195.61,2024-03-07
cliente_4700,producto_28,3,35.43,2024-01-25
cliente_2120,producto_40,6,239.88,2024-03-03
cliente_1341,producto_18,5,217.98,2023-12-01
cliente_143,producto_26,3,295.0,2023-09-23
cliente_2676,producto_5,1,89.47,2023-11-09
cliente_3567,producto_17,8,273.02,2023-08-07
cliente_2751,producto_5,3,249.41,2023-10-10
cliente_3845,producto_9,7,350.69,2024-03-04
cliente_3928,producto_30,4,282.9,2023-09-13
cliente_2744,producto_30,8,180.78,2024-02-27
cliente_3059,producto_14,9,349.39,2024-06-06
cliente_4269,producto_5,3,179.7,2023-09-28
cliente_2346,producto_15,4,308.28,2023-08-16
cliente_2081,producto_5,4,257.38,2023-10-20
cliente_3207,producto_11,5,289.81,2023-08-07
cliente_4392,producto_2,7,570.54,2024-01-22
cliente_558,producto_29,1,25.55,2023-06-16
cliente_948,producto_40,4,297.19,2023-08-21
cliente_2699,producto_32,6,220.16,2024-05-11
cliente_2626,producto_42,5,211.71,2023-10-20
cliente_1607,producto_34,10,230.32,2023-08-26
cliente_3814,producto_13,10,134.23,2023-10-24
cliente_4936,producto_50,4,87.3,2023-08-17
cliente_3313,producto_15,9,426.22,2023-08-20
cliente_1788,producto_46,9,689.68,2024-05-18
cliente_737,producto_23,7,156.44,2024-05-03
